Sta	Date	Month	Day	Yearday	Depth	Lat	AOU	CHLA	DIN	DO	DON	DOP	FSS	NH4F	NO23F	NO2F	NO3F	PC	PH	PHEO	PN	PO4F	PP	SALT	SIGMAT	SPCOND	TDN	TDP	TN	TON	TP	TSS	VSS	TEMP
44	41117	4	11	101	31	38.4132	74.48824808	7.476	7.064285714	234.375	12.22142857	0.312903226	0	5.785714286	1.278571429	0.271428571	1.007142857	75.41666667	7.7	2.766	11.64285714	0.090322581	0.65483871	23.24	18.00802	36800	19.28571429	0.403225806	30.92857143	23.86428571	1.058064516	13.7	0	9.4
44	71017	7	10	191	31	38.4132	188.5523458	0.641	13.16428571	43.75	26.83571429	0.335483871	0	11.28571429	1.878571429	1.342857143	0.535714286	37.33333333	7.4	1.303	5.221428571	1.04516129	0.387096774	19.73	12.08678	31800	40	1.380645161	45.22142857	32.05714286	1.767741935	15	0	24.6
53	60617	6	6	157	8	37.9118	137.1678214	1.068	6.628571429	115.625	21.94285714	0.477419355	0	5.214285714	1.414285714	0.192857143	1.221428571	41.66666667	7.5	1.175	6.95	0.151612903	0.280645161	21.41	14.68294	34200	28.57142857	0.629032258	35.52142857	28.89285714	0.909677419	10.8	0	19.5
33	71117	7	11	192	24	38.9951	237.0318046	1.282	19.74285714	12.1875	30.25714286	0.424193548	0	19.5	0.242857143	0.05	0.203571429	65.95833333	7.2	2.157	9.035714286	2.162903226	0.758064516	13.53	7.92261	22700	50	2.587096774	59.03571429	39.29285714	3.341935484	5.2	0	22.7
53	60617	6	6	157	0	37.9118	-22.27614963	10.833	4.5	278.125	16.21428571	0.161290323	0	0.5	4	0.05	3.964285714	110.8333333	8.4	0.915	18.71428571	0.067741935	0.490322581	10.3	5.5807	17800	20.71428571	0.229032258	39.42857143	34.92857143	0.719354839	7.2	0	22.3
73	71717	7	17	198	1	37.11681	-4.150116338	5.9808	0.221428571	224.0625	14.14642857	0.2	3.87	0.271428571	0.021428571	0.014285714	0.007142857	71.58	8.18	0.332	9.572857143	0.029032258	0.458064516	20.83	12.09171	33354	14.36428571	0.222580645	23.93571429	23.71785714	0.680645161	5.24	2.3375	27.39
53	83017	8	30	242	0	37.9118	5.629137558	5.474	4.021428571	231.25	21.69285714	0.516129032	0	1.714285714	2.307142857	1.064285714	1.242857143	65.16666667	8	0.74	10.78571429	0.522580645	0.503225806	15.07	8.46895	25000	25.71428571	1.038709677	36.5	32.47857143	1.541935484	7.2	0	25
73	71717	7	17	198	12	37.11681	28.93287079	1.8156	0.542857143	209.375	10	0.187096774	8.54	0.521428571	0.021428571	0.028571429	-0.007142857	32.83916667	7.95	0.65148	4.512857143	0.403225806	0.290322581	29.58	20.7617	45581	10.86428571	0.590322581	15.37857143	0	0.880645161	11.02	2.48	20.059
44	60617	6	6	157	0	38.4132	-69.62717601	14.952	3.207142857	325	20.36428571	0.24516129	0	0.357142857	2.85	0.221428571	2.628571429	155	8.6	1.709	22.78571429	0.090322581	0.819354839	9.65	5.01455	16800	23.57142857	0.335483871	46.35714286	43.15	1.15483871	4.4	0	22.6
33	41217	4	12	102	23	38.9951	137.7763451	6.23	16.34642857	196.875	19.01071429	0.240322581	0	9.5238095	6.810714286	0.392857143	6.417857143	166.6666667	7.3	9.4695	23.96428571	0.180645161	1.366129032	17.66	13.8679	28800	35.35714286	0.419354839	59.32142857	42.975	1.785483871	28.5	0	7.5
73	41017	4	10	100	1	37.11681	-3.870059789	2.136	0.221428571	293.4375	11.31785714	0.161290323	6.02	0.271428571	0.021428571	0.014285714	0.007142857	29.47666667	8.08	0.332	3.689285714	0.029032258	0.277419355	23.57	17.83154	37226	11.53571429	0.183870968	15.22857143	15.00714286	0.461290323	8.46	2.44	12.206
42	71117	7	11	192	26	38.6448	231.733582	0.62	16.18571429	12.8125	26.67142857	0.348387097	0	16.07142857	0.114285714	0.05	0.075	25.83333333	7.3	0.74	4.164285714	2.151612903	0.387096774	17.11	10.65282	28000	42.85714286	2.5	47.02142857	30.83571429	2.887096774	2.6	0	22.6
73	61417	6	14	165	1	37.11681	-23.94216431	3.4176	0.221428571	256.5625	14.90714286	0.161290323	3.87	0.271428571	0.021428571	0.021428571	0	81.52916667	8.15	0.332	10.54642857	0.029032258	0.451612903	17.43	10.16926	28316	15.12857143	0.183870968	25.67142857	25.45357143	0.635483871	5.32	2.4175	25.263
53	83017	8	30	242	25	37.9118	55.5985413	2.483	6.45	171.875	25.33571429	0.730645161	0	4.25	2.2	1.65	0.55	50	7.9	1.7595	8.642857143	0.691935484	0.44516129	20.01	11.98219	32200	31.78571429	1.422580645	40.42857143	33.97857143	1.869354839	12.4	0	25.7
33	60717	6	7	158	24	38.9951	254.2648604	0.62	23.15	17.8125	23.27857143	0.34516129	0	20.75	2.4	0.360714286	2.039285714	26.70833333	7.1	0.74	3.932142857	0.375806452	0.293548387	16.7	11.60551	27400	46.42857143	0.720967742	50.36071429	27.21071429	1.014516129	4.7	0	17.2
62	60617	6	6	157	9	37.4868	124.2501679	2.848	1.314285714	125.3125	15	0.177419355	8.32	1.185714286	0.128571429	0.042857143	0.085714286	47.72	7.63	0.3916	7.554285714	0.041935484	0.503225806	21.07	14.23694	33548	16.13571429	0.219354839	23.69285714	0	0.722580645	12.08	3.76	20.278
53	41017	4	10	100	26	37.9101	61.0815196	18.544	6.571428571	243.75	11.28571429	0.251612903	0	4.714285714	1.857142857	0.385714286	1.471428571	71.08333333	7.7	2.371	10.14285714	0.080645161	0.438709677	22.81	17.57334	36200	17.85714286	0.332258065	28	21.42857143	0.770967742	12.8	0	10.1
62	41117	4	11	101	9	37.4868	17.1888047	7.2624	0.221428571	283.4375	12.75357143	0.170967742	6.3	0.271428571	0.021428571	0.014285714	0.007142857	59.35416667	8.19	0.332	7.1	0.029032258	0.396774194	20.7	15.75043	33112	12.97142857	0.193548387	20.07142857	19.85	0.590322581	8.96	2.66	11.318
33	41217	4	12	102	0	38.9951	14.38016871	2.136	63.5	318.75	19.35714286	0.167741935	8.8	7.071428571	56.42857143	0.55	55.87857143	63.33333333	7.7	1.104	7	0.416129032	0.512903226	3	1.94001	6000	82.85714286	0.583870968	89.85714286	26.35714286	1.096774194	11.2	2.4	11.7
33	83117	8	31	243	24	38.9951	214.2380878	1.068	7.771428571	15.625	21.15714286	0.54516129	0	4.607142857	3.164285714	0.664285714	2.5	27.08333333	7.4	0.84	5.085714286	2.4	0.390322581	18.48	10.86176	30000	28.80952379	2.94516129	34.01428571	26.24285714	3.335483871	5.15	0	25.6
44	60617	6	6	157	31	38.4132	189.0152495	1.831	14.25	71.875	22.17857143	0.387096774	0	12.64285714	1.607142857	0.357142857	1.25	53	7.3	2.334	7.928571429	0.2	0.470967742	19.38	13.36926	31300	36.42857143	0.587096774	44.35714286	30.10714286	1.058064516	15.6	0	18.5
62	71317	7	13	194	1	37.4868	-20.34350487	8.544	0.221428571	241.875	16.42142857	0.187096774	3.87	0.271428571	0.021428571	0.014285714	0.007142857	92.755	8.2	0.4272	12.20071429	0.029032258	0.506451613	16.42	8.47642	26905	16.64285714	0.216129032	28.84285714	28.625	0.722580645	4.84	1.9375	28.41
